Department,領域,向度,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
通識中心,1,英文能力訓練,7102121,3,實用英語技巧（強化班）Practical English Usage (Intermediate Level),楊岳龍,2  2/0/0,2,通識,"四10,11",語言中心語言教室225,40
通識中心,1,英文能力訓練,7102211,1,應用英語表達（基礎班）English Communication Skills (Pre-intermediate Level),吳永倩,2  2/0/0,2,通識,"二10,11",語言中心語言教室224,40
通識中心,1,英文能力訓練,7102211,2,應用英語表達（基礎班）English Communication Skills (Pre-intermediate Level),吳永倩,2  2/0/0,2,通識,"四2,3",語言中心語言教室224,40
通識中心,1,英文能力訓練,7102221,1,應用英語技巧（強化班）English Communication Skills (Intermediate Level),吳永倩,2  2/0/0,2,通識,"一8,9",語言中心語言教室224,40
通識中心,1,英文能力訓練,7102221,2,應用英語技巧（強化班）English Communication Skills (Intermediate Level),吳永倩,2  2/0/0,2,通識,"一10,11",語言中心語言教室224,40
通識中心,1,英文能力訓練,7102221,3,應用英語技巧（強化班）English Communication Skills (Intermediate Level),吳永倩,2  2/0/0,2,通識,"三10,11",語言中心語言教室224,40
通識中心,1,英文能力訓練,7102231,1,應用英語（整合技巧）English Communication Skills (Integrated skills),李佳家,2  2/0/0,2,通識,"一10,11",語言中心語言教室225,40
通識中心,1,英文能力訓練,7102231,2,應用英語（整合技巧）English Communication Skills (Integrated skills),李佳家,2  2/0/0,2,通識,"三10,11",語言中心語言教室225,40
通識中心,1,英文能力訓練,7102231,3,應用英語（整合技巧）English Communication Skills (Integrated skills),李佳家,2  2/0/0,2,通識,"四10,11",語言中心語言教室224,40
通識中心,1,英文能力訓練,7102231,4,應用英語（整合技巧）English Communication Skills (Integrated skills),林麗菊,2  2/0/0,2,通識,"四10,11",語言中心語言教室227,30
通識中心,2,自然科學與技術,7201002,1,數學的過去與未來The Past and Future of Mathematics,余文卿,2  2/0/0,2,通識,"二10,11",共同教室大樓213,62
通識中心,2,基礎概論課程,7203002,1,邏輯Logic,陳今偉,2  2/0/0,2,通識,"二4,5",共同教室大樓106階梯教室,90
通識中心,2,自然科學與技術,7204003,1,統計與生活The Statistics of Living,高正雄,2  2/0/0,2,通識,"五2,3",數學館203,70
通識中心,2,自然科學與技術,7204004,1,機率與人生Probability in Life,陳仁義,2  2/0/0,2,通識,"三4,5",電算中心217教室,40
通識中心,3,人文思維與生命探索,7300006,1,音樂文創與文案書寫Creative Writing of Music and Project Design,李映瑾,2  2/0/0,2,通識,"二8,9",共同教室大樓204,62
通識中心,3,公民與社會參與,7300007,1,文化資產保存與法規Cultural Property and Regulations,蘇全正,2  2/0/0,2,通識,"一2,3",共同教室大樓321,62
通識中心,3,人文思維與生命探索,7301028,1,日本現代文學與影像Japanese modern literature and Images,楊智景,2  2/0/0,2,通識,"四8,9",共同教室大樓207,60
通識中心,3,基礎概論課程,7301036,1,日文（一）Japanese (I),魚地加代子,2  2/0/0,2,通識,"二4,5",共同教室大樓208,60
通識中心,3,基礎概論課程,7301037,1,日文（二）Japanese (II),魚地加代子,2  2/0/0,2,通識,"四2,3",共同教室大樓208,60
通識中心,3,基礎概論課程,7301037,2,日文（二）Japanese (II),魚地加代子,2  2/0/0,2,通識,"二2,3",共同教室大樓208,60
通識中心,3,基礎概論課程,7301039,1,德文（二）German (II),楊美娟,2  2/0/0,2,通識,"二4,5",共同教室大樓213,60
通識中心,3,基礎概論課程,7301041,1,法文（二）French (II),紀惠瓊,2  2/0/0,2,通識,"一4,5",文學院136,60
通識中心,3,基礎概論課程,7301043,1,西班牙文（二）Spanish (II),李優俐,2  2/0/0,2,通識,"五2,3",文學院136,60
通識中心,3,基礎概論課程,7301050,1,中級印尼語Intermediate Indonesian,何德華,2  2/0/0,2,通識,"二10,11",共同教室大樓302TEAL教室,40
通識中心,3,基礎概論課程,7301051,1,台語文會話(一)Taiwanese Conversation(I),李勤岸,2  2/0/0,2,通識,"五7,8",共同教室大樓214,62
通識中心,3,人文思維與生命探索,7301053,1,語言與文化Language and Culture,陳月妙,2  2/0/0,2,通識,"二4,5",共同教室大樓214,62
通識中心,3,基礎概論課程,7301056,1,泰語(一)Basic Thai Language(I),白桂英,2  2/0/0,2,通識,"三9,10",共同教室大樓207,40
通識中心,3,基礎概論課程,7301057,1,泰語(二)Basic Thai Language(Ⅱ),白桂英,2  2/0/0,2,通識,"三7,8",共同教室大樓207,40
通識中心,3,基礎概論課程,7301058,1,越南語基礎會話Vietnamese Basic Conversation,胡秋莊,2  2/0/0,2,通識,"四10,11",共同教室大樓201,40
通識中心,3,基礎概論課程,7301059,1,越南語進階會話Advanced Vietnamese conversation,胡秋莊,2  2/0/0,2,通識,"四8,9",共同教室大樓201,40
通識中心,3,基礎概論課程,7301060,1,基礎古希臘文Basic Ancient Greek,黃俊龍,2  2/0/0,2,通識,"四7,8",共同教室大樓213,40
通識中心,3,人文思維與生命探索,7302018,1,當代文化的變遷與挑戰Change and Conflict in Contemporary Culture,張秀蓉,2  2/0/0,2,通識,"二10,11",共同教室大樓206,60
通識中心,3,人文思維與生命探索,7302019,1,世界史的視野The Perspective of World History,方志強,2  2/0/0,2,通識,"四10,11",文學院118,45
通識中心,3,人文思維與生命探索,7302038,1,臺灣原住民社會文化概論The Cultures of Indigenous People in Taiwan,浦忠勇,2  2/0/0,2,通識,"三4,5",共同教室大樓208,60
通識中心,3,人文思維與生命探索,7302039,1,從神話看希臘羅馬文化Graeco-Roman Mythology and Culture,黃俊龍,2  2/0/0,2,通識,"三8,9",共同教室大樓213,62
通識中心,3,人文思維與生命探索,7302041,1,古代中國文明與東西文化交流Ancient Chinese Civilization and Cultural Exchanges,李昭毅,2  2/0/0,2,通識,"二10,11",共同教室大樓420,62
通識中心,3,人文思維與生命探索,7302042,1,鄒族的語言與文化The Language and Culture of Tsou,溫英傑,2  2/0/0,2,通識,"五8,9",共同教室大樓213,62
通識中心,3,人文思維與生命探索,7302045,1,臺灣民間信仰與生命關懷Taiwan Folk Belief and Life Concern,蘇全正,2  2/0/0,2,通識,"二10,11",共同教室大樓321,62
通識中心,3,人文思維與生命探索,7302046,1,敦煌的文獻與石窟藝術Dunhuang Literature and Grotto Art,李映瑾,2  2/0/0,2,通識,"二4,5",共同教室大樓204,62
通識中心,3,基礎概論課程,7303010,1,哲學概論Introduction to Philosophy,陳今偉,2  2/0/0,2,通識,"三2,3",共同教室大樓302TEAL教室,90
通識中心,3,基礎概論課程,7303010,2,哲學概論Introduction to Philosophy,陳俊明,2  2/0/0,2,通識,"五4,5",共同教室大樓419,90
通識中心,3,基礎概論課程,7303011,1,倫理學Ethics,林慧旻,2  2/0/0,2,通識,"四8,9",共同教室大樓212,90
通識中心,3,人文思維與生命探索,7303014,1,生命倫理學Bioethics,陳俊明,2  2/0/0,2,通識,"一4,5",共同教室大樓325,60
通識中心,3,人文思維與生命探索,7303015,1,批判思考Critical Thinking,林慧旻,2  2/0/0,2,通識,"四10,11",共同教室大樓212,90
通識中心,3,人文思維與生命探索,7303019,1,當代政治哲學議題Contemporary Issues of Political Philosophy,林耕漢,2  2/0/0,2,通識,"五7,8",共同教室大樓420,62
通識中心,3,自然科學與技術,7303022,1,易數邏輯I-Number Logic(遠距教學/Distant learning),游寶達,2  2/0/0,2,通識,"二8,9",共同教室大樓215,90
通識中心,3,人文思維與生命探索,7303023,1,意識哲學與科學Philosophy and Science of Consciousness,陳今偉,2  2/0/0,2,通識,"二2,3",共同教室大樓302TEAL教室,60
通識中心,3,人文思維與生命探索,7303024,1,理性與決策Rationality and Decision-making,陳俊明,2  2/0/0,2,通識,"四2,3",共同教室大樓325,60
通識中心,3,藝術與美學,7304003,1,聽覺藝術欣賞Music Appreciation,黃富琴,2  2/0/0,2,通識,"五2,3",共同教室大樓106階梯教室,90
通識中心,3,藝術與美學,7304007,1,西洋音樂史A History of Western Music,謝馥年,2  2/0/0,2,通識,"五4,5",共同教室大樓325,60
通識中心,3,藝術與美學,7304012,1,漫遊聲樂的世界Introduction to Vocal Music,謝馥年,2  2/0/0,2,通識,"五2,3",共同教室大樓325,60
通識中心,3,藝術與美學,7304019,1,藝術基礎理論與賞析The Practice of Western Artists and Theories,黃承德,2  2/0/0,2,通識,"三4,5",共同教室大樓501,60
通識中心,3,藝術與美學,7304020,1,當代藝術思潮Trends of Contemporary Art,黃承德,2  2/0/0,2,通識,"二8,9",共同教室大樓501,60
通識中心,3,藝術與美學,7304020,2,當代藝術思潮Trends of Contemporary Art,黃承德,2  2/0/0,2,通識,"二10,11",共同教室大樓501,60
通識中心,3,藝術與美學,7304024,1,版畫創作基礎Basic Printmaking,黃承德,2  2/0/0,2,通識,"一8,9",共同教室大樓501,40
通識中心,3,藝術與美學,7304029,1,表演與自我開發Acting and Self-development,周力德,2  2/0/0,2,通識,"五9,10",活動中心301舞蹈教室,26
通識中心,3,藝術與美學,7304030,1,戲劇與人生Drama and Life,周力德,2  2/0/0,2,通識,"五7,8",共同教室大樓212,47
通識中心,3,藝術與美學,7304031,1,數位美學Digital Aesthetics,陸維元,2  2/0/0,2,通識,"一8,9",電算中心214教室,40
通識中心,3,能源、環境與生態,7304032,1,自然觀察與紀錄Observation and Preservation of Nature,陸維元,2  2/0/0,2,通識,"三4,5",共同教室大樓325,36
通識中心,3,藝術與美學,7304033,1,藝術的故事The Story of Art,陸維元,2  2/0/0,2,通識,"二8,9",共同教室大樓325,53
通識中心,3,藝術與美學,7304034,1,當代藝術與設計Modern Art and Design,鄭安利,2  2/0/0,2,通識,"四8,9",共同教室大樓501,60
通識中心,3,藝術與美學,7304034,2,當代藝術與設計Modern Art and Design,鄭安利,2  2/0/0,2,通識,"四4,5",共同教室大樓501,60
通識中心,3,藝術與美學,7304035,1,藝術形式及表現手法Art Form and Presentation,鄭安利,2  2/0/0,2,通識,"四10,11",共同教室大樓501,60
通識中心,3,藝術與美學,7304036,1,數位音樂創作Digital Music Design,張介凡,2  2/0/0,2,通識,"四8,9",電算中心214教室,38
通識中心,3,藝術與美學,7304038,1,探索音樂治療Exploring Music Therapy,謝馥年,2  2/0/0,2,通識,"五7,8",共同教室大樓325,20
通識中心,3,藝術與美學,7304041,1,影像美學Image Aesthetics,陸維元,2  2/0/0,2,通識,"三8,9",共同教室大樓325,30
通識中心,3,藝術與美學,7304042,1,世界音樂Introduction to the World Music,邱亭雅,2  2/0/0,2,通識,"一8,9",共同教室大樓207,60
通識中心,3,藝術與美學,7304043,1,電影配樂發展史與風格賞析The History of Film Scoring - Analysis and Development,邱亭雅,2  2/0/0,2,通識,"一10,11",共同教室大樓207,60
通識中心,3,藝術與美學,7304044,1,進階數位音樂創作Advanced Digital Music Design,張介凡,2  2/0/0,2,通識,"四10,11",電算中心214教室,20
通識中心,3,人文思維與生命探索,7305002,1,基督信仰與西方近代科學Christian Belief and Modern Sciences in the Western World,許佳振,2  2/0/0,2,通識,"四10,11",共同教室大樓305階梯教室,90
通識中心,3,跨向度課程「中正講座」,7306040,1,中正講座－向典範學習(十六)Chung Cheng Lectures—Learning from the Masters(XVI),陸維元,2  2/0/0,2,通識,"二10,11",共同教室大樓325,53
通識中心,3,跨向度課程「中正講座」,7306040,2,中正講座－向典範學習(十六)Chung Cheng Lectures—Learning from the Masters(XVI),王秋玲,2  2/0/0,2,通識,"二10,11",共同教室大樓322,53
通識中心,3,跨向度課程「中正講座」,7306040,3,中正講座－向典範學習(十六)Chung Cheng Lectures—Learning from the Masters(XVI),黃俊儒,2  2/0/0,2,通識,"二10,11",共同教室大樓214,53
通識中心,3,跨向度課程「中正講座」,7306040,4,中正講座－向典範學習(十六)Chung Cheng Lectures—Learning from the Masters(XVI),楊志和,2  2/0/0,2,通識,"二10,11",共同教室大樓207,53
通識中心,4,公民與社會參與,7400004,1,"婚姻、家庭與法律Marriage, Family and Law",曾品傑,2  2/0/0,2,通識,"一8,9",共同教室大樓203,60
通識中心,4,人文思維與生命探索,7400011,1,民主的理想與現實Ideals and Reality of Democracy,江宜樺,2  2/0/0,2,通識,"四10,11",共同教室大樓216,90
通識中心,4,人文思維與生命探索,7400016,1,友善性別關係Gender Relationship,蕭湘鳳,2  2/0/0,2,通識,"三10,11",共同教室大樓208,60
通識中心,4,人文思維與生命探索,7400017,1,愛情與文學Love and Literature,蕭湘鳳,2  2/0/0,2,通識,"四8,9",共同教室大樓208,60
通識中心,4,基礎概論課程,7401002,1,心理學緒論Introduction to Psychology,王豐彬,3  3/0/0,3,通識,"二7,8,9",共同教室大樓212,85
通識中心,4,基礎概論課程,7401002,2,心理學緒論Introduction to Psychology,蔣文祁,3  3/0/0,3,通識,一B 三B,社科院127,85
通識中心,4,公民與社會參與,7401017,1,心理學在社區服務的應用Psychology Applied to Community Service,李洸楚,2  2/0/0,2,通識,"一8,9",共同教室大樓322,50
通識中心,4,公民與社會參與,7401017,2,心理學在社區服務的應用Psychology Applied to Community Service,李洸楚,2  2/0/0,2,通識,"一10,11",共同教室大樓322,50
通識中心,4,公民與社會參與,7401018,1,人際互動心理學探索Exploring the Psychology of Human Interactions,陳怡華,2  2/0/0,2,通識,"二2,3",教育二館233,50
通識中心,4,人文思維與生命探索,7401020,1,心理衛生與適應Mental Health and Adjustment,陳怡華,2  2/0/0,2,通識,"一2,3",教育二館233,50
通識中心,4,基礎概論課程,7402011,1,社會學Sociology,賴俊帆,2  2/0/0,2,通識,"一9,10",共同教室大樓321,62
通識中心,4,公民與社會參與,7402012,1,社會福利Social Welfare,黃柏睿,2  2/0/0,2,通識,"二4,5",共同教室大樓206,60
通識中心,4,經濟與國際脈動,7402036,1,透視台商與台僑Overseas Taiwanese Immigrants and Businesses,朱柔若,2  2/0/0,2,通識,"三10,11",社科院328,32
通識中心,4,公民與社會參與,7402039,1,"傳播科技與社會Communication, Technology and Society",林怡玫,2  2/0/0,2,通識,"二7,8",社科院119,90
通識中心,4,公民與社會參與,7402040,1,媒體素養Media Literacy,管中祥,2  2/0/0,2,通識,"二10,11",社科院103,55
通識中心,4,人文思維與生命探索,7402041,1,"從藝文影音解析當代中國Understanding Contemporary China: An Analysis of Literature, Documentaries and the Cinema",林穎佑,2  2/0/0,2,通識,"四10,11",共同教室大樓215,90
通識中心,4,公民與社會參與,7402043,1,非營利組織與社會福利Nonprofit Organization and Social Welfare,鄭文輝,2  2/0/0,2,通識,"二10,11",社科院360,60
通識中心,4,經濟與國際脈動,7403003,1,當前國內外情勢分析Analysis of Domestic and International Situation,蔡榮祥,2  2/0/0,2,通識,"一7,8",共同教室大樓212,90
通識中心,4,基礎概論課程,7404001,1,法學緒論Introduction to Jurisprudence,謝三榮,2  2/0/0,2,通識,"三8,9",共同教室大樓212,90
通識中心,4,基礎概論課程,7404001,2,法學緒論Introduction to Jurisprudence,謝三榮,2  2/0/0,2,通識,"三10,11",共同教室大樓212,90
通識中心,4,公民與社會參與,7404012,1,職場與法律Workplace and Law,鄭津津,2  2/0/0,2,通識,"一10,11",法學院101階梯教室,90
通識中心,4,公民與社會參與,7404017,1,勞工法與企業經營Labor Law and Business Management,楊通軒,2  2/0/0,2,通識,"三8,9",社科院109,70
通識中心,4,公民與社會參與,7404018,1,憲法－基本人權Constitution Law-Basic Human Rights,李仁淼,2  2/0/0,2,通識,"三8,9",法學院101階梯教室,90
通識中心,4,經濟與國際脈動,7405006,1,生活經濟學Everyday Economics,孫佳宏,3  3/0/0,3,通識,"一7,8,9",共同教室大樓214,62
通識中心,4,經濟與國際脈動,7405006,2,生活經濟學Everyday Economics,蔡仰虔,3  3/0/0,3,通識,"四7,8,9",共同教室大樓214,62
通識中心,4,經濟與國際脈動,7405010,1,認識台灣經濟Understanding the Taiwanese Economy,蔡仰虔,2  2/0/0,2,通識,"二8,9",共同教室大樓213,62
通識中心,4,經濟與國際脈動,7405011,1,華僑經濟與全球投資Economics of Overseas Chinese Affairs and Global Investment,洪育忠,2  2/0/0,2,通識,"一10,11",創新大樓163,60
通識中心,4,經濟與國際脈動,7405013,1,認識中國經濟Understanding the China Economy,翁世芳,2  2/0/0,2,通識,"二8,9",共同教室大樓401,70
通識中心,4,經濟與國際脈動,7405014,1,經濟與國家發展Economics and Country Development,翁世芳,2  2/0/0,2,通識,"二4,5",共同教室大樓322,62
通識中心,4,經濟與國際脈動,7406015,1,企業倫理Business Ethics,盧龍泉,2  2/0/0,2,通識,"四4,5",管理學院115,75
通識中心,4,經濟與國際脈動,7406018,1,理財與生活Financial Management in Life,洪育忠,2  2/0/0,2,通識,"二7,8",創新大樓162,60
通識中心,4,經濟與國際脈動,7406022,1,國際貿易實務International Trade Practice,陳鏡堯,3  3/0/0,3,通識,"三12,13,14",創新大樓163,60
通識中心,4,經濟與國際脈動,7406032,1,財務管理概論Introduction to Financial management,沈伯凡,2  2/0/0,2,通識,"五10,11",管理學院101,60
通識中心,4,經濟與國際脈動,7406035,1,國際人力資源管理International Human Resource Management,王秋玲,2  2/0/0,2,通識,"二4,5",共同教室大樓321,62
通識中心,4,經濟與國際脈動,7406036,1,投資規劃與生活Investment Planning and Life,莊益源,2  2/0/0,2,通識,"五4,5",管理學院006,80
通識中心,4,經濟與國際脈動,7406036,2,投資規劃與生活Investment Planning and Life,楊鴻煒,2  2/0/0,2,通識,"五4,5",共同教室大樓420,62
通識中心,4,人文思維與生命探索,7407012,1,生命教育Life Education,張菀珍,2  2/0/0,2,通識,"二10,11",教育二館135,85
通識中心,4,人文思維與生命探索,7407013,1,職涯規劃Career Plan,王秋玲,2  2/0/0,2,通識,"三4,5",共同教室大樓322,62
通識中心,4,人文思維與生命探索,7407014,1,人際關係與人際溝通Human Relations & Interpersonal Communication,王秋玲,2  2/0/0,2,通識,"三10,11",共同教室大樓322,62
通識中心,4,公民與社會參與,7407016,1,生涯知能Career Knowledge,王秋玲 黃承德 陸維元 楊志和,2  2/0/0,2,通識,"一10,11",共同教室大樓325,1
通識中心,4,公民與社會參與,7407026,1,服務學習：高齡健康促進Service Leaning: Health Promotion for the Elderly,王怡分,2  2/0/0,2,通識,"二2,3",共同教室大樓207,50
通識中心,4,公民與社會參與,7407027,1,服務學習：課輔知能在補救教學的應用Service Learning: The Application of Knowledge and Skills in Remedial Teaching,林妙香,2  2/0/0,2,通識,"五2,3",共同教室大樓321,50
通識中心,4,公民與社會參與,7407027,2,服務學習：課輔知能在補救教學的應用Service Learning: The Application of Knowledge and Skills in Remedial Teaching,林妙香,2  2/0/0,2,通識,"五4,5",共同教室大樓321,50
通識中心,4,公民與社會參與,7407028,1,服務學習：友善校園宣導計畫Service Learning: The Propaganda of Friendly Campus,林妙香,2  2/0/0,2,通識,"五7,8",共同教室大樓321,50
通識中心,2,自然科學與技術,7500004,1,電影中的科學Science in films,黃俊儒,2  2/0/0,2,通識,"四4,5",共同教室大樓214,62
通識中心,2,能源、環境與生態,7500010,1,永續綠生活Sustainable Green Life,黃佳盛,2  2/0/0,2,通識,"一10,11",共同教室大樓208,60
通識中心,2,能源、環境與生態,7500014,1,永續都市規劃概論Introducation to Sustainable Urban Planning,蔡中暉,2  2/0/0,2,通識,"二9,10",共同教室大樓201,60
通識中心,2,能源、環境與生態,7500015,1,環境倫理－從綠色產業談起Environmental Ethics from the Viewpoint of Green Industry,李振卿,2  2/0/0,2,通識,"三4,5",共同教室大樓216,70
通識中心,2,能源、環境與生態,7500016,1,永續發展Sustainable Development,李振卿,2  2/0/0,2,通識,"三10,11",共同教室大樓216,70
通識中心,2,能源、環境與生態,7500017,1,氣候變遷調適與防災Climate Change Adaptation and Disasters Protection,李振卿,2  2/0/0,2,通識,"四7,8",共同教室大樓325,70
通識中心,2,能源、環境與生態,7500019,1,地球演化與資源Geoevolution and Natural Resources,鍾令和,2  2/0/0,2,通識,"五8,9",共同教室大樓215,90
通識中心,2,自然科學與技術,7500021,1,科學飲茶實務Practice on scientific tea drinking,許偉庭,2  2/0/0,2,通識,"二8,9",共同教室大樓323,40
通識中心,2,自然科學與技術,7500021,2,科學飲茶實務Practice on scientific tea drinking,許偉庭,2  2/0/0,2,通識,"二10,11",共同教室大樓323,40
通識中心,2,能源、環境與生態,7500022,1,地景欣賞與保育Landscape perception and conservation,黃文樹,2  2/0/0,2,通識,"四11,12",共同教室大樓207,60
通識中心,2,能源、環境與生態,7500023,1,氣候變遷下維生基礎調適The Adaptation of Subsistence for Climate Change,李振卿,2  2/0/0,2,通識,"四4,5",共同教室大樓325,70
通識中心,2,能源、環境與生態,7500024,1,綠能科技的開發與展望Green Energy and Green Technology,吳榮宗,2  2/0/0,2,通識,"二10,11",共同教室大樓208,60
