,領域,向度,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
99,3,藝術與美學,7304034,2,當代藝術與設計Modern Art and Design,鄭安利,2  2/0/0,2,通識,"四4,5",共同教室大樓501,60
100,3,藝術與美學,7304035,1,藝術形式及表現手法Art Form and Presentation,鄭安利,2  2/0/0,2,通識,"四10,11",共同教室大樓501,60
101,3,藝術與美學,7304036,1,數位音樂創作Digital Music Design,張介凡,2  2/0/0,2,通識,"四8,9",電算中心214教室,38
102,3,藝術與美學,7304038,1,探索音樂治療Exploring Music Therapy,謝馥年,2  2/0/0,2,通識,"五7,8",共同教室大樓325,20
103,3,藝術與美學,7304041,1,影像美學Image Aesthetics,陸維元,2  2/0/0,2,通識,"三8,9",共同教室大樓325,30
104,3,藝術與美學,7304042,1,世界音樂Introduction to the World Music,邱亭雅,2  2/0/0,2,通識,"一8,9",共同教室大樓207,60
105,3,藝術與美學,7304043,1,電影配樂發展史與風格賞析The History of Film Scoring - Analysis and Development,邱亭雅,2  2/0/0,2,通識,"一10,11",共同教室大樓207,60
106,3,藝術與美學,7304044,1,進階數位音樂創作Advanced Digital Music Design,張介凡,2  2/0/0,2,通識,"四10,11",電算中心214教室,20
107,3,人文思維與生命探索,7305002,1,基督信仰與西方近代科學Christian Belief and Modern Sciences in the Western World,許佳振,2  2/0/0,2,通識,"四10,11",共同教室大樓305階梯教室,90
108,3,跨向度課程「中正講座」,7306040,1,中正講座－向典範學習(十六)Chung Cheng Lectures—Learning from the Masters(XVI),陸維元,2  2/0/0,2,通識,"二10,11",共同教室大樓325,53
109,3,跨向度課程「中正講座」,7306040,2,中正講座－向典範學習(十六)Chung Cheng Lectures—Learning from the Masters(XVI),王秋玲,2  2/0/0,2,通識,"二10,11",共同教室大樓322,53
110,3,跨向度課程「中正講座」,7306040,3,中正講座－向典範學習(十六)Chung Cheng Lectures—Learning from the Masters(XVI),黃俊儒,2  2/0/0,2,通識,"二10,11",共同教室大樓214,53
111,3,跨向度課程「中正講座」,7306040,4,中正講座－向典範學習(十六)Chung Cheng Lectures—Learning from the Masters(XVI),楊志和,2  2/0/0,2,通識,"二10,11",共同教室大樓207,53
112,4,公民與社會參與,7400004,1,"婚姻、家庭與法律Marriage, Family and Law",曾品傑,2  2/0/0,2,通識,"一8,9",共同教室大樓203,60
113,4,人文思維與生命探索,7400011,1,民主的理想與現實Ideals and Reality of Democracy,江宜樺,2  2/0/0,2,通識,"四10,11",共同教室大樓216,90
114,4,人文思維與生命探索,7400016,1,友善性別關係Gender Relationship,蕭湘鳳,2  2/0/0,2,通識,"三10,11",共同教室大樓208,60
115,4,人文思維與生命探索,7400017,1,愛情與文學Love and Literature,蕭湘鳳,2  2/0/0,2,通識,"四8,9",共同教室大樓208,60
116,4,基礎概論課程,7401002,1,心理學緒論Introduction to Psychology,王豐彬,3  3/0/0,3,通識,"二7,8,9",共同教室大樓212,85
117,4,基礎概論課程,7401002,2,心理學緒論Introduction to Psychology,蔣文祁,3  3/0/0,3,通識,一B 三B,社科院127,85
118,4,公民與社會參與,7401017,1,心理學在社區服務的應用Psychology Applied to Community Service,李洸楚,2  2/0/0,2,通識,"一8,9",共同教室大樓322,50
119,4,公民與社會參與,7401017,2,心理學在社區服務的應用Psychology Applied to Community Service,李洸楚,2  2/0/0,2,通識,"一10,11",共同教室大樓322,50
120,4,公民與社會參與,7401018,1,人際互動心理學探索Exploring the Psychology of Human Interactions,陳怡華,2  2/0/0,2,通識,"二2,3",教育二館233,50
121,4,人文思維與生命探索,7401020,1,心理衛生與適應Mental Health and Adjustment,陳怡華,2  2/0/0,2,通識,"一2,3",教育二館233,50
122,4,基礎概論課程,7402011,1,社會學Sociology,賴俊帆,2  2/0/0,2,通識,"一9,10",共同教室大樓321,62
123,4,公民與社會參與,7402012,1,社會福利Social Welfare,黃柏睿,2  2/0/0,2,通識,"二4,5",共同教室大樓206,60
124,4,經濟與國際脈動,7402036,1,透視台商與台僑Overseas Taiwanese Immigrants and Businesses,朱柔若,2  2/0/0,2,通識,"三10,11",社科院328,32
125,4,公民與社會參與,7402039,1,"傳播科技與社會Communication, Technology and Society",林怡玫,2  2/0/0,2,通識,"二7,8",社科院119,90
126,4,公民與社會參與,7402040,1,媒體素養Media Literacy,管中祥,2  2/0/0,2,通識,"二10,11",社科院103,55
127,4,人文思維與生命探索,7402041,1,"從藝文影音解析當代中國Understanding Contemporary China: An Analysis of Literature, Documentaries and the Cinema",林穎佑,2  2/0/0,2,通識,"四10,11",共同教室大樓215,90
128,4,公民與社會參與,7402043,1,非營利組織與社會福利Nonprofit Organization and Social Welfare,鄭文輝,2  2/0/0,2,通識,"二10,11",社科院360,60
129,4,經濟與國際脈動,7403003,1,當前國內外情勢分析Analysis of Domestic and International Situation,蔡榮祥,2  2/0/0,2,通識,"一7,8",共同教室大樓212,90
130,4,基礎概論課程,7404001,1,法學緒論Introduction to Jurisprudence,謝三榮,2  2/0/0,2,通識,"三8,9",共同教室大樓212,90
131,4,基礎概論課程,7404001,2,法學緒論Introduction to Jurisprudence,謝三榮,2  2/0/0,2,通識,"三10,11",共同教室大樓212,90
132,4,公民與社會參與,7404012,1,職場與法律Workplace and Law,鄭津津,2  2/0/0,2,通識,"一10,11",法學院101階梯教室,90
133,4,公民與社會參與,7404017,1,勞工法與企業經營Labor Law and Business Management,楊通軒,2  2/0/0,2,通識,"三8,9",社科院109,70
134,4,公民與社會參與,7404018,1,憲法－基本人權Constitution Law-Basic Human Rights,李仁淼,2  2/0/0,2,通識,"三8,9",法學院101階梯教室,90
135,4,經濟與國際脈動,7405006,1,生活經濟學Everyday Economics,孫佳宏,3  3/0/0,3,通識,"一7,8,9",共同教室大樓214,62
136,4,經濟與國際脈動,7405006,2,生活經濟學Everyday Economics,蔡仰虔,3  3/0/0,3,通識,"四7,8,9",共同教室大樓214,62
137,4,經濟與國際脈動,7405010,1,認識台灣經濟Understanding the Taiwanese Economy,蔡仰虔,2  2/0/0,2,通識,"二8,9",共同教室大樓213,62
138,4,經濟與國際脈動,7405011,1,華僑經濟與全球投資Economics of Overseas Chinese Affairs and Global Investment,洪育忠,2  2/0/0,2,通識,"一10,11",創新大樓163,60
139,4,經濟與國際脈動,7405013,1,認識中國經濟Understanding the China Economy,翁世芳,2  2/0/0,2,通識,"二8,9",共同教室大樓401,70
140,4,經濟與國際脈動,7405014,1,經濟與國家發展Economics and Country Development,翁世芳,2  2/0/0,2,通識,"二4,5",共同教室大樓322,62
141,4,經濟與國際脈動,7406015,1,企業倫理Business Ethics,盧龍泉,2  2/0/0,2,通識,"四4,5",管理學院115,75
142,4,經濟與國際脈動,7406018,1,理財與生活Financial Management in Life,洪育忠,2  2/0/0,2,通識,"二7,8",創新大樓162,60
143,4,經濟與國際脈動,7406022,1,國際貿易實務International Trade Practice,陳鏡堯,3  3/0/0,3,通識,"三12,13,14",創新大樓163,60
